OPE ID,School,academic_year,State,School Type,dl_sub_#,dl_sub_$,dl_unsub_#,dl_unsub_$,Total_$,Total_#
100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,2020-2021,AL,Public,5887,11737977,5929,9331661,21075567,11749793
100300,FAULKNER UNIVERSITY,2020-2021,AL,Private-Nonprofit,3733,5134451,4227,5534065,10672743,5142411
100400,UNIVERSITY OF MONTEVALLO,2020-2021,AL,Public,1897,3758966,2203,4018904,7780073,3763066
100500,ALABAMA STATE UNIVERSITY,2020-2021,AL,Public,4213,8265804,4611,7005813,15276228,8274628
100700,CENTRAL ALABAMA COMMUNITY COLLEGE,2020-2021,AL,Public,448,664603,255,343678,1008536,665306
100800,ATHENS STATE UNIVERSITY,2020-2021,AL,Public,1982,4423362,1893,6005225,10430480,4427237
100900,AUBURN UNIVERSITY,2020-2021,AL,Public,10330,22784403,12144,24277869,47074416,22806877
101200,BIRMINGHAM-SOUTHERN COLLEGE,2020-2021,AL,Private-Nonprofit,681,1480602,963,1886871,3368436,1482246
101300,CALHOUN COMMUNITY COLLEGE,2020-2021,AL,Public,2379,3413366,2723,4772673,8188762,3418468
101500,ENTERPRISE STATE COMMUNITY COLLEGE,2020-2021,AL,Public,558,879343,578,1055602,1935523,880479
101600,UNIVERSITY OF NORTH ALABAMA,2020-2021,AL,Public,4228,8487690,4338,8284303,16776331,8496256
101900,HUNTINGDON COLLEGE,2020-2021,AL,Private-Nonprofit,981,2109376,1268,2340023,4450667,2111625
102000,JACKSONVILLE STATE UNIVERSITY,2020-2021,AL,Public,5951,12810605,6391,13100926,25917922,12822947
102200,JEFFERSON STATE COMMUNITY COLLEGE,2020-2021,AL,Public,3044,5185123,1284,1737067,6923474,5189451
102300,JUDSON COLLEGE,2020-2021,AL,Private-Nonprofit,317,485626,312,382302,868240,486255
102400,UNIVERSITY OF WEST ALABAMA,2020-2021,AL,Public,2927,5918641,2775,5971318,11892734,5924343
102600,MARION MILITARY INSTITUTE,2020-2021,AL,Public,185,297820,313,486217,784350,298318
102800,MILES COLLEGE,2020-2021,AL,Private-Nonprofit,2386,4456009,2818,4078772,8537599,4461213
102900,UNIVERSITY OF MOBILE,2020-2021,AL,Private-Nonprofit,1346,2646966,1565,2765480,5414011,2649877
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,2020-2021,AL,Public,585,945139,280,339143,1284562,946004
103300,OAKWOOD UNIVERSITY,2020-2021,AL,Private-Nonprofit,1528,3370108,1775,3182844,6554727,3373411
103600,SAMFORD UNIVERSITY,2020-2021,AL,Private-Nonprofit,1283,2864055,1813,3819377,6685245,2867151
103800,SNEAD STATE COMMUNITY COLLEGE,2020-2021,AL,Public,486,803969,478,936955,1741402,804933
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,2020-2021,AL,Public,1670,2114434,1917,2758728,4875079,2118021
104100,SPRING HILL COLLEGE,2020-2021,AL,Private-Nonprofit,1047,2167013,1258,2125386,4293657,2169318
104400,STILLMAN COLLEGE,2020-2021,AL,Private-Nonprofit,1053,2117379,1154,2063844,4182377,2119586
104600,TALLADEGA COLLEGE,2020-2021,AL,Private-Nonprofit,1784,3820683,1813,4691054,8513550,3824280
104700,TROY UNIVERSITY,2020-2021,AL,Public,13973,21922896,14169,24729508,46666573,21951038
105000,TUSKEGEE UNIVERSITY,2020-2021,AL,Private-Nonprofit,2690,5767696,3057,4630221,10400974,5773443
105100,UNIVERSITY OF ALABAMA,2020-2021,AL,Public,15622,34394035,19549,38422236,72835820,34429206
105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2020-2021,AL,Public,9812,20209830,10642,21939438,42159910,20230284
105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,2020-2021,AL,Public,4077,9007740,4572,10747356,19759668,9016389
105700,UNIVERSITY OF SOUTH ALABAMA,2020-2021,AL,Public,7470,16022677,7962,15955798,31986437,16038109
106000,COASTAL ALABAMA COMMUNITY COLLEGE,2020-2021,AL,Public,2337,3597026,2496,4840589,8440111,3601859
106100,ALASKA PACIFIC UNIVERSITY,2020-2021,AK,Private-Nonprofit,258,579855,226,601639,1181720,580339
106300,UNIVERSITY OF ALASKA FAIRBANKS,2020-2021,AK,Public,1766,3861085,1730,5064370,8927185,3864581
