Name,Age,Credit_Score
Carl Velasquez,56,501
April James,69,569
Levi Moore,46,570
John Lewis,32,755
Casey Wallace,60,761
Jessica Brown,25,551
Casey Parsons,78,595
Amy Herrera,38,637
Thomas Tran,56,352
Christopher Leon,75,516
Jessica Wilson,36,487
Matthew May,40,679
Charles Carter,28,792
Leah Martin,28,340
Jason Harris,41,456
Mrs. Amanda Rivera MD,70,314
Cameron Allen,53,364
Leslie Gill,57,820
James Hopkins,41,643
Megan Wang,20,428
Mary Holland,39,771
Jeff Bradley,70,362
David Long,19,438
Joshua Wang,41,798
Tammy Roberts,61,691
Kimberly Frost,47,718
Mrs. Jaclyn Hurst,55,588
Teresa Dillon,19,678
Justin Leon,77,789
Melissa Collins,38,530
Joshua Downs,50,340
Laura Contreras,29,327
Brett Mack,75,434
David Williams,39,500
Kenneth Martin,78,332
Samantha Harvey,61,347
Briana Collier,42,802
William Lowe,66,706
Paul Russell,44,398
Brandon Dennis,76,846
Jennifer Perry,59,761
Eric Parker,45,304
Danielle Baker,77,517
Felicia Roberson,33,802
David Gray,32,697
Willie Pittman Jr.,79,692
Jacob Anderson,79,506
Adam Yates,64,314
Kaitlyn Brennan,79,760
Mrs. Caroline Gould MD,68,540
Tina Cameron,61,395
Laura Bird,72,784
Gavin Harris,69,706
Russell Thomas,74,530
Jennifer Curry,20,470
Wanda Curtis,54,840
Tammy Fisher,68,335
Emily Horne,24,824
Gregory Bonilla,38,459
Brandon Robinson,26,542
Michele Lewis,56,385
Catherine Brown,35,327
Amanda Donovan,21,639
Benjamin Lawrence,42,630
Summer Allison,77,805
Richard Wallace,31,647
Annette Johnson,67,772
Jennifer Harris,75,530
Duane Mitchell,26,489
Eric Taylor,43,524
Shawn Holmes,70,684
Anne Adkins,19,676
Brandy Giles,37,582
Michael Matthews,45,558
Jennifer Davis,64,658
Steven Sims,77,755
Linda Williams,24,710
Michael Braun,61,617
Brenda Williams,78,524
Rebecca Smith,25,533
Douglas Hood,64,673
Gary Olson,52,771
Ana Young,31,532
Stephen Hall,34,412
Eric Gentry,53,796
Pamela Shaw,67,741
Michael Jones,57,567
Bobby Ramirez,21,809
Alexander Meyer,19,685
Jessica Brooks,79,686
Christopher Brown,23,412
Melissa Smith,71,380
Michael Nguyen,59,412
Michael Salazar,21,301
Jodi Palmer,71,519
Dana Miller,46,524
Philip Mooney,35,684
William Parsons,43,702
Stacy Hardy,61,429
Pamela Brown,51,352
